;;T(entropy,4,0.01,0.3);
9;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(97.0, 100.0, 100.0, 100.0, 97.5, 00:00:08);
10;Salinas-A,(3,:averaged,"o_None","TestOpGeq");(92.0, 95.0, 100.0, 100.0, 93.33, 00:00:08);
1;Salinas-A,(3,false,"o_RCC8","TestOpAll");(96.0, 95.0, 100.0, 100.0, 96.67, 00:08:02);
2;Salinas-A,(3,false,"o_RCC8","TestOpAll");(98.0, 100.0, 100.0, 100.0, 98.33, 00:03:14);
3;Salinas-A,(3,false,"o_RCC8","TestOpAll");(98.0, 100.0, 100.0, 100.0, 98.33, 00:03:13);
4;Salinas-A,(3,false,"o_RCC8","TestOpAll");(96.0, 90.0, 100.0, 100.0, 96.67, 00:03:10);
5;Salinas-A,(3,false,"o_RCC8","TestOpAll");(97.0, 100.0, 100.0, 100.0, 97.5, 00:03:11);
6;Salinas-A,(3,false,"o_RCC8","TestOpAll");(99.0, 100.0, 100.0, 100.0, 99.17, 00:03:13);
7;Salinas-A,(3,false,"o_RCC8","TestOpAll");(95.0, 100.0, 100.0, 100.0, 95.83, 00:03:13);
8;Salinas-A,(3,false,"o_RCC8","TestOpAll");(95.0, 100.0, 99.0, 95.24, 95.83, 00:03:08);
9;Salinas-A,(3,false,"o_RCC8","TestOpAll");(98.0, 100.0, 100.0, 100.0, 98.33, 00:03:12);
10;Salinas-A,(3,false,"o_RCC8","TestOpAll");(93.0, 100.0, 100.0, 100.0, 94.17, 00:03:12);
1;PaviaCentre,(1,false,"o_None","TestOpGeq");(85.0, 90.0, 98.12, 85.71, 86.67, 00:00:17);
2;PaviaCentre,(1,false,"o_None","TestOpGeq");(83.12, 90.0, 98.12, 85.71, 85.0, 00:00:09);
3;PaviaCentre,(1,false,"o_None","TestOpGeq");(83.12, 70.0, 99.38, 93.33, 85.0, 00:00:09);
4;PaviaCentre,(1,false,"o_None","TestOpGeq");(84.38, 80.0, 97.5, 80.0, 86.11, 00:00:09);
5;PaviaCentre,(1,false,"o_None","TestOpGeq");(85.62, 90.0, 96.88, 78.26, 87.22, 00:00:09);
6;PaviaCentre,(1,false,"o_None","TestOpGeq");(83.12, 90.0, 99.38, 94.74, 85.0, 00:00:09);
7;PaviaCentre,(1,false,"o_None","TestOpGeq");(84.38, 90.0, 98.75, 90.0, 86.11, 00:00:09);
8;PaviaCentre,(1,false,"o_None","TestOpGeq");(83.75, 80.0, 97.5, 80.0, 85.56, 00:00:09);
9;PaviaCentre,(1,false,"o_None","TestOpGeq");(89.38, 90.0, 97.5, 81.82, 90.56, 00:00:09);
10;PaviaCentre,(1,false,"o_None","TestOpGeq");(83.75, 90.0, 99.38, 94.74, 85.56, 00:00:09);
1;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(34.38, 45.0, 92.5, 42.86, 41.67, 00:02:32);
2;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(42.5, 40.0, 96.88, 61.54, 48.89, 00:02:30);
3;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(40.62, 55.0, 96.25, 64.71, 47.22, 00:01:29);
4;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(45.63, 75.0, 91.88, 53.57, 51.67, 00:02:32);
5;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(30.0, 40.0, 95.0, 50.0, 37.78, 00:02:31);
6;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(38.12, 50.0, 93.75, 50.0, 45.0, 00:02:34);
7;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(43.75, 55.0, 95.0, 57.89, 50.0, 00:02:48);
8;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(36.88, 45.0, 92.5, 42.86, 43.89, 00:02:37);
9;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(35.0, 15.0, 93.12, 21.43, 42.22, 00:01:26);
10;PaviaCentre,(3,:flattened,"o_None","TestOpGeq");(40.62, 40.0, 96.88, 61.54, 47.22, 00:02:32);
